word,freq
explained,9
returning,9
reduction,9
pacific,9
commander,9
hosted,9
unbelievable,9
battle,9
earned,9
determined,9
meaning,9
original,9
lynch,9
obstructionist,9
hospital,9
mourn,9
rock,9
finished,9
lawmakers,9
plane,9
round,9
cool,9
acid,9
anthony,9
tribute,9
filibuster,9
minute,9
protects,9
taxpayers,9
package,9
suppression,9
loaded,9
harry,9
unified,9
protest,9
rescue,9
liberty,9
houston,9
hostile,9
locations,9
rand,9
intention,9
hence,9
electric,9
warmest,9
pure,9
mentioned,9
hated,9
founders,9
understood,9
barely,9
releasing,9
penalty,9
theft,9
pearl,9
harbor,9
vision,9
related,9
reciprocal,9
endure,9
blue,9
tragic,9
actual,9
fund,9
comprehensive,9
holiday,9
subpoena,9
francisco,9
bay,9
jerusalem,9
dumbest,9
omarosa,9
harvard,9
leakin,9
trumper,9
bit,9
charging,9
violations,9
brandon,9
table,9
messages,9
taliban,9
targeted,9
complain,9
understanding,9
securing,9
barletta,9
bust,9
schools,9
industries,9
kidding,9
intellectual,9
property,9
percent,9
doral,9
jews,9
greggutfeld,9
hilton,9
filthy,9
jarrett,9
common,9
socialist,9
moved,9
lowering,9
unrelated,9
heads,9
mob,9
remove,9
ultimately,9
neither,9
destroying,9
section,9
admits,9
produced,9
storms,9
envy,9
suggested,9
cartels,9
tlaib,9
disappeared,9
squad,9
boris,9
sondland,9
murder,8
felt,8
dealers,8
supposedly,8
compared,8
cares,8
theresa,8
mistakes,8
merely,8
heavy,8
executives,8
registered,8
horror,8
tears,8
nominate,8
environment,8
rex,8
tillerson,8
comeback,8
eu,8
palm,8
backed,8
workforce,8
session,8
attempt,8
bloomberg,8
airport,8
replacement,8
sweden,8
districts,8
epidemic,8
reality,8
sitting,8
society,8
discussion,8
nasa,8
multiple,8
